transaction_id,sale_date,amount,quantity,discount_rate,status,payment_method,is_prime_member,is_gift,customer_segment,product_category,shipping_notes
Standard Entry #1,03/05/2024,559.49,49.29,0.38,completed,pix,true,true,Regular,Electronics,
Advanced Entry #2,2025-05-04,1315.72,34.93,0.33,refunded,pix,True,1,Inactive,Sports,
Custom Product #3,14/03/2024,4916.14,59.53,0.31,refunded,pix,não,False,Inactive,Home,Pickup 37
Professional Product #4,08/23/2025,1177.57,13.44,0.23,pending,boleto,True,False,New,Electronics,
Professional Record #5,22/11/2024,1068.69,53.21,0.08,pending,boleto,no,T,Inactive,Toys,Express delivery 329
Custom Record #6,2024-07-31,2576.43,13.08,0.46,pending,paypal,True,T,VIP,Home,Pickup 13
Standard Service #7,01/27/2025,2977.94,11.59,0.45,refunded,credit_card,0,não,Inactive,Electronics,Standard shipping 889
Premium Item #8,2024/01/23,"2,519.54",38.33,0.21,refunded,boleto,False,true,VIP,Sports,Pickup 319
Professional Document #9,20240702,2183.89,30.42,0.19,refunded,boleto,False,não,Inactive,Home,
Standard Entry #10,06/11/2024,2881.60,68.47,0.14,completed,credit_card,não,false,New,Electronics,
Custom Document #11,12/05/2025,"3,253.64",92.84,0.50,pending,paypal,no,NO,Regular,Clothing,Pickup 496
Enterprise Document #12,05/02/2024,4040.98,61.27,0.25,completed,paypal,NO,NO,Regular,Clothing,
Premium Resource #13,2024-10-27,"4,539.49",1.01,,completed,debit_card,sim,sim,Regular,Electronics,Express delivery 578
Standard Asset #14,20250503,3562.23,3.34,0.50,cancelled,paypal,YES,no,New,Home,Express delivery 237
Professional Record #15,2025/02/25,3767.13,50.09,0.23,completed,debit_card,false,1,Inactive,Electronics,
Basic Item #16,03/18/2025,2570.99,36.29,,cancelled,boleto,Y,,VIP,Toys,Pickup 981
Premium Entry #17,2025-10-13,1184.20,11.36,0.29,completed,pix,N,false,Inactive,Books,Pickup 893
Custom Document #18,12/03/2024,2377.88,6.34,0.30,completed,pix,yes,N,Regular,Clothing,Standard shipping 113
Enterprise Document #19,10/26/2025,1141.22,92.60,0.20,refunded,pix,Y,T,Regular,Clothing,Gift wrap 694
