transaction_id,transaction_date,amount,balance_after,fee,transaction_type,channel,is_international,is_recurring,status,risk_score,description
Standard Item #1,07/22/2025,-45754.39,"659,383.59",14.96,fee,ATM,Y,,failed,medium,
Advanced Item #2,20250725,-20601.27,857582.19,28.56,transfer,Branch,True,,completed,medium,
Premium Entry #3,2025-03-08,27373.59,536327.89,18.71,withdrawal,ATM,True,1,pending,low,Salary Deposit 171
Standard Document #4,2025/12/24,-25734.21,580590.77,44.67,deposit,Web,F,T,completed,high,Bill Payment 574
Advanced Service #5,2025/11/22,41650.31,804391.30,31.25,withdrawal,ATM,0,F,completed,,Online Purchase 787
Advanced Resource #6,11/19/2025,47625.55,"599,177.81",28.82,fee,POS,Y,F,failed,high,
Professional Asset #7,23/01/2025,-32774.83,"266,591.81",47.91,deposit,POS,no,NO,completed,,Salary Deposit 47
Enterprise Record #8,20251103,"10,605.55",14239.77,,transfer,POS,N,,completed,medium,Online Purchase 185
Custom Asset #9,31/03/2025,32151.46,220932.30,2.49,fee,POS,NO,não,completed,high,ATM Withdrawal 674
Custom Item #10,2025/09/01,-32009.94,"215,229.43",16.09,fee,ATM,NO,F,completed,low,ATM Withdrawal 143
Standard Service #11,2025/07/31,"16,507.49",554530.24,33.85,withdrawal,Branch,0,true,pending,high,
Custom Asset #12,2026/02/06,46190.04,108591.49,26.45,deposit,Mobile App,true,false,completed,medium,
Advanced Record #13,02/10/2026,-13683.91,"881,263.60",45.04,withdrawal,POS,NO,,reversed,low,
Professional Entry #14,03/12/2025,"11,694.47",720733.80,29.82,transfer,Branch,YES,1,failed,high,Bill Payment 45
Premium Product #15,2025-12-23,"13,882.31",964223.08,37.95,fee,POS,F,True,completed,high,Online Purchase 577
Custom Asset #16,01/12/2025,"-46,007.57",461081.68,10.94,withdrawal,Mobile App,N,NO,pending,medium,
Basic Item #17,20/06/2025,7412.80,"339,956.28",44.30,payment,Mobile App,F,T,reversed,high,
