shipment_id,ship_date,delivery_date,weight_kg,shipping_cost,distance_km,carrier,service_level,is_insured,requires_signature,status,destination_region,special_instructions
Professional Document #1,20251218,04/10/2025,430.14,143.37,3376.15,Local Courier,Same-Day,no,1,returned,Northeast,
Premium Entry #2,2025-11-18,,345.03,256.29,"2,461.05",Local Courier,Standard,yes,false,returned,South,
Premium Asset #3,2025/10/27,12/13/2025,114.41,346.32,"1,909.45",Local Courier,Express,N,True,delivered,Northeast,Fragile 364
Professional Resource #4,2025-11-27,,650.03,455.26,"3,865.96",Fedex,Express,NO,False,lost,North,
Premium Entry #5,2025/12/21,25/01/2026,507.22,81.12,1458.27,Correios,Standard,Y,yes,delivered,Northeast,
Professional Entry #6,07/07/2025,06/01/2025,373.33,167.87,2225.97,Correios,Economy,Y,false,lost,South,Handle with Care 59
Premium Product #7,20250703,,366.82,260.00,693.15,DHL,Express,N,T,lost,Midwest,
Custom Resource #8,20250430,25/12/2025,377.74,98.83,,Fedex,Economy,T,false,lost,Southeast,
Professional Record #9,12/11/2025,20250925,843.54,352.87,676.96,Correios,Same-Day,0,True,delayed,Northeast,
Basic Record #10,22/12/2025,,397.74,363.72,3065.47,Fedex,Standard,T,false,delivered,,Leave at Door 514
Advanced Entry #11,2025-11-14,2025-01-29,935.40,345.81,819.30,Own Fleet,Express,1,true,in_transit,Northeast,
Basic Item #12,30/12/2025,2025-03-15,411.95,297.01,"4,117.04",Local Courier,Standard,sim,1,lost,Midwest,Fragile 546
Premium Service #13,20250128,02/14/2025,616.44,330.54,"3,552.54",Own Fleet,Same-Day,yes,yes,delivered,Southeast,Leave at Door 112
Professional Entry #14,2025-07-12,19/10/2025,767.99,54.35,42.51,Fedex,Same-Day,sim,1,in_transit,Northeast,Handle with Care 69
Professional Service #15,2026-01-22,,197.69,401.23,506.81,Correios,Economy,no,1,in_transit,South,
Professional Item #16,10/13/2025,17/03/2025,924.32,466.64,2776.88,Own Fleet,Economy,YES,0,lost,Northeast,
Basic Asset #17,2025-03-20,04/04/2025,180.12,249.10,804.43,Correios,Same-Day,YES,yes,delayed,Southeast,
Enterprise Entry #18,2025/07/30,20250625,815.99,394.14,3205.22,Correios,Economy,yes,False,in_transit,Northeast,Keep Refrigerated 536
Professional Service #19,05/30/2025,01/15/2025,365.05,112.52,"3,033.32",Correios,Express,true,sim,in_transit,South,
Enterprise Product #20,08/13/2025,2025-03-09,388.44,296.74,2752.31,Fedex,Same-Day,no,False,delivered,International,
Professional Product #21,20250112,2026-01-15,196.06,191.95,1893.54,DHL,Standard,0,F,delayed,South,
Custom Record #22,2025-06-05,20251207,473.09,206.27,3634.68,DHL,Express,True,N,returned,North,
Basic Item #23,06/02/2026,27/02/2026,104.77,372.62,219.27,Own Fleet,Same-Day,YES,sim,in_transit,South,Keep Refrigerated 296
Enterprise Product #24,2025/03/04,,906.85,5.43,483.49,Correios,Economy,true,Y,in_transit,South,
Standard Product #25,01/15/2026,01/05/2026,284.03,269.20,2848.41,Fedex,Standard,NO,YES,delivered,International,
Advanced Document #26,2025-04-08,,719.69,432.27,"1,417.89",Correios,Standard,false,sim,delivered,North,
Premium Service #27,2025-03-28,,957.12,52.23,,Fedex,Standard,1,0,in_transit,Northeast,
Advanced Resource #28,12/26/2025,2025/06/18,159.45,103.56,"4,962.45",Own Fleet,Express,não,não,in_transit,Midwest,
Advanced Entry #29,2025-11-26,,565.28,318.34,214.03,Fedex,Express,não,yes,in_transit,,Fragile 693
Professional Service #30,09/06/2025,20251111,441.15,150.23,"2,620.65",DHL,Express,1,não,delivered,Midwest,
Basic Entry #31,05/27/2025,02/15/2026,853.58,319.41,"3,160.64",Local Courier,Standard,yes,False,lost,North,
Custom Record #32,05/01/2025,2025-06-03,509.99,449.12,994.60,Own Fleet,Standard,False,N,returned,South,Keep Refrigerated 206
Advanced Product #33,29/06/2025,2025-11-10,739.24,217.62,1236.68,Local Courier,Same-Day,T,no,in_transit,Northeast,
Standard Asset #34,07/13/2025,20260219,372.01,227.82,3848.00,Fedex,Economy,1,yes,lost,Southeast,
Basic Product #35,2025/02/25,16/01/2025,629.00,40.69,2338.79,Own Fleet,Same-Day,1,NO,delivered,International,
Enterprise Service #36,2025-07-25,2025/06/02,416.57,132.32,1616.54,Correios,Standard,sim,NO,returned,Southeast,Handle with Care 42
Professional Resource #37,05/07/2025,07/28/2025,555.65,171.43,"3,967.68",Correios,Economy,yes,YES,delayed,International,Fragile 771
Professional Asset #38,20250404,19/02/2025,413.25,187.32,"1,972.26",Fedex,Economy,0,False,delayed,Northeast,Keep Refrigerated 496
Professional Entry #39,2025/01/20,24/01/2025,999.49,11.47,2936.22,Own Fleet,Same-Day,0,Y,delivered,South,Handle with Care 489
Enterprise Service #40,2025-08-20,,117.35,63.25,1291.49,Own Fleet,Standard,1,sim,lost,Northeast,Keep Refrigerated 228
Premium Record #41,2025-05-19,16/02/2025,233.19,379.74,"2,213.77",Local Courier,Economy,yes,Y,delivered,South,Fragile 952
Enterprise Asset #42,2025/06/27,2025/01/13,128.81,319.50,1404.39,DHL,Standard,N,no,delayed,South,Handle with Care 168
Professional Asset #43,2025/05/14,18/05/2025,180.67,102.37,2702.07,Local Courier,Same-Day,0,1,returned,International,Handle with Care 525
Custom Resource #44,2025-11-16,20251214,32.66,268.91,79.25,Correios,Economy,não,1,delayed,Midwest,
Enterprise Entry #45,2025-08-14,2025-07-28,165.16,434.66,4239.29,Own Fleet,Standard,não,no,returned,Southeast,
Premium Service #46,2025-07-07,20250413,516.47,237.81,"4,506.34",DHL,Same-Day,0,T,lost,South,
Premium Entry #47,09/04/2025,,966.56,81.06,"1,424.25",Local Courier,Economy,T,true,returned,,Leave at Door 557
Custom Document #48,06/12/2025,,724.53,329.05,4239.39,DHL,Economy,T,YES,returned,International,
Premium Entry #49,2025/04/20,2026/01/05,698.33,95.47,4191.75,Local Courier,Standard,YES,não,in_transit,South,Handle with Care 819
Premium Entry #50,27/01/2025,08/08/2025,635.47,252.04,2137.42,Fedex,Express,N,YES,lost,Northeast,Keep Refrigerated 888
Standard Item #51,02/21/2025,22/01/2025,729.74,277.90,2685.51,Correios,Economy,NO,1,returned,North,
Basic Record #52,03/12/2025,20251019,958.33,478.56,"3,514.65",Own Fleet,Standard,True,Y,lost,Northeast,
Advanced Product #53,20/02/2025,20250623,594.13,346.00,"4,885.07",Fedex,Same-Day,Y,yes,returned,Midwest,Fragile 47
Premium Service #54,2025-07-22,,42.19,157.33,3343.08,Correios,Standard,T,true,delivered,Northeast,
Enterprise Asset #55,22/10/2025,15/07/2025,359.14,264.57,"3,000.90",DHL,Economy,0,sim,lost,International,
Standard Record #56,01/16/2025,2025-10-08,356.68,181.44,,DHL,Same-Day,true,0,returned,International,Fragile 188
Standard Document #57,2025-02-07,20250205,466.61,379.69,"1,047.57",DHL,Economy,não,N,delivered,South,Keep Refrigerated 615
Basic Entry #58,20251108,09/08/2025,614.52,226.36,"2,799.34",DHL,Same-Day,true,F,in_transit,,
Basic Service #59,2025-11-21,2025/08/06,207.54,219.06,978.33,Own Fleet,Express,yes,Y,returned,,Leave at Door 678
Basic Asset #60,28/09/2025,2025/01/31,896.61,388.56,596.09,DHL,Same-Day,True,0,delivered,North,
Premium Document #61,02/01/2026,14/07/2025,57.16,420.16,"1,125.86",Local Courier,Express,T,false,in_transit,Midwest,
Custom Entry #62,07/10/2025,2025-01-16,65.97,260.18,3536.21,DHL,Express,T,sim,returned,Midwest,
Premium Product #63,20250822,20250912,,150.61,4569.46,DHL,Standard,false,1,in_transit,North,Leave at Door 824
Advanced Service #64,2025-01-01,2025/07/28,318.40,231.28,4035.39,Local Courier,Standard,Y,True,delivered,Southeast,
Custom Service #65,2025/08/06,31/01/2026,26.46,30.65,3271.55,Local Courier,Same-Day,F,1,returned,Southeast,Handle with Care 357
Custom Product #66,07/02/2026,2026-02-10,231.74,212.12,3132.52,Fedex,Express,True,sim,lost,North,
Premium Record #67,2025/03/16,2025-12-19,730.09,246.73,3664.29,Correios,Economy,True,false,returned,Northeast,Handle with Care 859
Professional Item #68,2025-02-07,2026-01-31,226.90,280.31,"3,675.35",Local Courier,Same-Day,False,false,lost,South,
Basic Asset #69,05/29/2025,2025/08/26,674.95,32.71,3069.53,Fedex,Economy,YES,no,delayed,Midwest,Keep Refrigerated 236
Standard Product #70,2025-01-06,,301.40,62.94,,Fedex,Express,yes,F,lost,Northeast,
Custom Item #71,03/15/2025,20250322,569.48,423.37,3733.27,Fedex,Express,não,F,returned,Southeast,Keep Refrigerated 872
Advanced Asset #72,10/08/2025,04/12/2025,329.19,258.84,473.11,DHL,Economy,0,1,delayed,International,Fragile 482
Standard Entry #73,01/11/2026,2025/12/28,249.74,108.69,2305.29,Local Courier,Economy,True,false,in_transit,North,
Basic Product #74,20251027,2025/02/14,809.24,41.44,"1,549.77",Correios,Standard,False,NO,delayed,Midwest,Keep Refrigerated 133
Advanced Resource #75,2025/11/06,02/17/2026,947.52,210.13,1620.23,Own Fleet,Same-Day,NO,no,in_transit,International,
Custom Asset #76,20250217,,981.97,387.31,942.50,DHL,Economy,sim,Y,in_transit,International,Handle with Care 124
Standard Product #77,20260212,20250808,32.66,398.37,606.79,DHL,Standard,F,true,delivered,South,
Enterprise Product #78,05/05/2025,03/13/2025,484.94,325.78,2065.00,Local Courier,Standard,1,sim,returned,Northeast,Handle with Care 751
Advanced Product #79,2025-06-21,11/06/2025,957.42,447.69,1929.31,DHL,Economy,NO,T,in_transit,Southeast,Keep Refrigerated 631
Custom Service #80,11/01/2025,2025-09-28,809.04,189.42,1427.51,Fedex,Same-Day,0,N,delivered,Northeast,
Custom Record #81,20250826,2026/02/05,70.77,406.35,"4,324.19",DHL,Economy,True,sim,in_transit,Southeast,
Standard Entry #82,14/08/2025,2025-10-09,465.34,290.46,"3,801.12",Correios,Economy,no,yes,lost,Midwest,
Basic Entry #83,2025-02-07,,777.60,90.95,1071.16,Fedex,Same-Day,Y,sim,delivered,South,
Advanced Resource #84,2025/11/16,20250312,653.11,356.46,13.73,Own Fleet,Economy,True,yes,returned,South,Keep Refrigerated 973
Custom Product #85,20250715,,549.71,239.61,976.35,Correios,Express,sim,YES,in_transit,North,Keep Refrigerated 38
Standard Item #86,2025/06/02,07/06/2025,808.77,435.01,"2,764.90",Fedex,Same-Day,YES,0,delayed,South,
Premium Record #87,20250520,12/02/2025,292.50,490.71,"4,206.43",Fedex,Standard,Y,YES,lost,International,
Premium Asset #88,2025-11-18,27/08/2025,126.75,446.00,104.04,Local Courier,Express,False,não,delayed,International,
Advanced Resource #89,10/01/2025,,62.34,74.49,"3,379.52",DHL,Standard,Y,no,lost,International,Keep Refrigerated 802
Advanced Asset #90,2025-03-07,07/05/2025,623.50,93.17,"1,016.63",Own Fleet,Express,não,False,returned,Midwest,
Custom Product #91,2025-01-09,2025/12/03,180.42,267.76,"3,561.17",Correios,Same-Day,F,N,lost,,
Enterprise Resource #92,02/13/2026,20250223,143.30,133.96,2147.16,Local Courier,Same-Day,sim,false,lost,North,Fragile 549
Professional Service #93,2025/12/22,2025-01-24,875.78,95.13,4738.19,Fedex,Standard,N,false,delivered,Northeast,Fragile 895
Standard Record #94,08/07/2025,20260129,107.08,326.54,3890.98,Correios,Express,true,False,returned,Northeast,Handle with Care 272
Custom Record #95,20250701,11/06/2025,905.14,64.92,1322.71,Own Fleet,Express,1,true,lost,Southeast,Handle with Care 275
Standard Product #96,08/01/2025,28/02/2025,877.08,306.04,1329.51,Local Courier,Same-Day,sim,YES,lost,Northeast,Leave at Door 579
Basic Product #97,29/09/2025,2025-03-27,653.77,132.06,2425.84,Own Fleet,Same-Day,F,Y,lost,South,
Basic Service #98,20251025,12/29/2025,245.72,414.62,4320.34,Correios,Express,False,false,lost,South,Leave at Door 557
Enterprise Asset #99,2025/10/01,20251012,938.12,167.05,793.70,Local Courier,Standard,não,false,lost,South,
Premium Resource #100,03/04/2025,,233.38,247.32,"4,177.11",Own Fleet,Express,1,no,returned,North,Keep Refrigerated 690
Enterprise Service #101,20260111,2025-01-01,582.12,336.38,968.86,Own Fleet,Standard,N,sim,returned,Northeast,Handle with Care 702
Custom Item #102,30/10/2025,20260108,302.22,449.91,2969.23,Fedex,Standard,0,sim,in_transit,Southeast,
Enterprise Resource #103,2025-01-17,2025-10-30,948.05,451.04,2179.03,Fedex,Economy,False,False,delivered,Midwest,
Enterprise Resource #104,27/04/2025,2025/10/20,389.56,228.14,545.18,Own Fleet,Same-Day,F,yes,in_transit,International,
Advanced Resource #105,2025/11/26,02/16/2026,601.26,217.10,2288.80,Correios,Economy,N,N,in_transit,South,Handle with Care 713
Professional Record #106,10/09/2025,2025-08-11,81.22,454.59,,Fedex,Standard,YES,true,delivered,South,Keep Refrigerated 411
Basic Resource #107,20/07/2025,,324.05,273.87,4246.38,Local Courier,Express,False,YES,lost,International,
Professional Document #108,2025-12-17,20250520,52.63,168.81,"3,181.62",DHL,Same-Day,0,N,lost,International,
Standard Entry #109,06/10/2025,27/06/2025,574.20,366.28,"1,671.46",Fedex,Express,1,false,delivered,International,
Custom Asset #110,2025-02-16,20250911,431.02,350.03,591.40,Fedex,Express,não,F,lost,Northeast,
Enterprise Record #111,20/09/2025,15/06/2025,294.31,414.00,2187.64,Correios,Economy,Y,True,delivered,Midwest,
Advanced Service #112,10/13/2025,09/06/2025,847.12,462.13,"3,712.17",Fedex,Same-Day,Y,true,delivered,International,
Advanced Service #113,20251130,08/02/2025,682.60,31.90,473.20,Correios,Express,0,no,lost,,
Premium Entry #114,2026-02-01,11/01/2025,50.33,10.78,"2,920.73",Local Courier,Economy,false,Y,in_transit,Northeast,
Professional Resource #115,2025-05-11,,175.54,167.55,"4,011.13",Local Courier,Same-Day,true,False,in_transit,International,
Premium Entry #116,2025/11/26,20250125,125.90,479.56,4124.24,Local Courier,Standard,T,N,in_transit,Midwest,Handle with Care 960
Advanced Item #117,2025/10/14,16/12/2025,765.00,172.20,1330.23,Fedex,Economy,False,0,delayed,Midwest,Leave at Door 868
